Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017	Baiba, Baiba	Baiba			Rīga	Popper	Mākslas izstāžu katalogi	Latviešu	28
2017	Grace, Aksel	A guide to finding a husband			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	36
2017	Lazy Bra	Wank a doodle			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	28
2017	Čemme, Katrīna	Between shapes			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	26
2017	Veilands, Oskars	Read less			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	28
2017	Ratniks, Mārtiņš	Printforms I - XVIII			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	20
2017		4 in 1	zīns 4 nodaļās		Rīga	Popper	Mākslas izstāžu katalogi	Latviešu	72
2017	Nagliņa, Ieva	Discarded		9789934535451	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	16
2017	Tzara, Tristan	Dada manifesto			Rīga	Popper	Mākslas izstāžu katalogi	Angļu	64
2017		Maija Tabaka un Rietumberlīne und West-Berlin		9789934819742	Rīga	Galerija 21	Mākslas izstāžu katalogi	Latviešu	240
2017		Mark Rothko 2016	starptautiskais simpozijs	9789934535406	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2017		Likteņdārzs	labdarības izsole Likteņdārza atbalstam; klasiskās mākslas galerija "Antonija", 2016. gada 22. maijs - 2. jūnijs		Rīga	KOKNESES FONDS	Mākslas izstāžu katalogi	Latviešu	40
2017	Zvejsalnieks, Osvalds	Veltījums pilsētai		9789934149498	Rēzekne	Latgalieši	Mākslas izstāžu katalogi	Latviešu; Angļu; Krievu	48
2017		[Latvijas Mākslas akadēmijas Dizaina diplomandu dienas]	2016		Rīga	Latvijas Mākslas akadēmija	Mākslas izstāžu katalogi	Latviešu; Angļu	37
2017		Latvijas Mākslas akadēmijas Dizaina diplomandu dienas	DDD2017		Rīga	Latvijas Mākslas akadēmija	Mākslas izstāžu katalogi	Latviešu; Angļu	43
2017	Tillbergs, Oļegs; Filipovičs, Jānis	Divdabis			Rīga	Latvijas Laikmetīgās mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	18
2017		Baiba Priedīte. Akvareļu sienas (izstādes katalogs)		9789934535499	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	36
2017		Ināra Petruseviča. Spalva platmalei (izstādes katalogs)		9789934535505	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu; Krievu	36
2017		Gunārs Krollis. Vienotais laika tarifs (izstādes katalogs)		9789934535512	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	56
2017	Borgs, Jānis; Groševs, Kaspars	Divdabis			Rīga	Latvijas Laikmetīgās mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	30
2017	Ieviņš, Atis; Meldere, Inga	Divdabis			Rīga	Latvijas Laikmetīgās mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	18
2017	Pilkingtons, Maiks	Going Solo	emociju un sajūtu ceļojums; 17. septembris - 23. oktobris, INSIGNIA mākslas galerija koncertzālē "Cēsis"		Cēsu novads	Vidzemes koncertzāle	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2017		Beāte Gjersvolda. Ainava un spēks #3	izstādes katalogs	9789934535529	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2017		Una Gura. Pumpunella	izstādes katalogs	9789934535536	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	20
2017		Silvija Šmidkena. Vēl arvien...	izstādes katalogs	9789934535543	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2017		I starptautiskais glezniecības plenērs "Valdis Bušs 2017"	plenēra katalogs	9789934535567	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2017		Young Culture			Rīga	Latvijas Laikmetīgās mākslas centrs	Mākslas izstāžu katalogi	Latviešu	28
2017		Disney princeses	krāso un rotaļājies!	9789934163456	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Elena no Avaloras	krāsojamā grāmata ar uzlīmēm	9789934163517	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		My Little Pony	darbiņu grāmata ar uzlīmēm	9789934163531	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Disney uzdevumu grāmata ar uzlīmēm		9789934163562	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Deisney princeses	galma uzdevumi ar uzlīmēm	9789934163579	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Maša un Lācis	krāsaina diena ar uzlīmēm	9789934163593	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Vinnijs Pūks	sirsnīgās krāsas ar uzlīmēm	9789934163500	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Ledus sirds	rodi mieru un atraisi iztēli!	9789934163548	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	30
2017		My Little Pony. Equestria girls	rodi mieru un atraisi iztēli!	9789934163555	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Ledus sirds	krāsu virpulī ar uzlīmēm	9789934163586	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Laukos	grāmata ar lodziņiem	9789934065033	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Mājās	grāmata ar lodziņiem	9789934065026	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Es esmu mazs kucēns		9789934163333	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
