Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017		Līmē un krāso ar žirafi	palīgs krāsu un formu apguvē	9789934164118	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Līmē un krāso ar lapsu	palīgs krāsu un formu apguvē	9789934164132	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Manas prāta spēles		9789934164088	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Mana atņemšana		9789934164071	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Mana saskaitīšana		9789934164064	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Mani loģikas uzdevumi		9789934164095	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Sporta auto	līmē uzlīmes un izkrāso!	9789934071027	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Motocikli	līmē uzlīmes un izkrāso!	9789934071010	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Kravas auto	līmē uzlīmes un izkrāso!	9789934070990	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Apvidus auto	līmē uzlīmes un izkrāso!	9789934071003	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Mīļie draugi	uzdevumi un uzlīmes	9789934070730	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Pirmie 200 vārdi latviešu - angļu valodā	uzdevumi un uzlīmes	9789934070723	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017	Ross, Kenijs	Auto grāmata	skanošā grāmata	9789934067242	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Mežā	čibu-čabu grāmatiņa	9789934068546	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Dārzā	čibu-čabu grāmatiņa	9789934068539	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Mana lauku sētas pārsteigumu grāmata	48 zīmējumi krāsošanai	9789934163692	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	48
2017	Gulbe, Evija; Lošina, Linda	Koko un Riko darbošanās grāmata	1	9789934069567	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Man patīk uzlīmes!	krāsas; vairāk nekā 70 uzlīmes	9789934070785	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Man patīk uzlīmes!	jautrās spēles; vairāk nekā 70 uzlīmes	9789934070761	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Mācies zīmēt!	lauku sētas iemītnieki	9789934070747	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Mācies zīmēt!	zoodārza iemītnieki	9789934070754	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Man patīk uzlīmes!	dzīvnieciņi; vairāk nekā 70 uzlīmes	9789934070792	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Man patīk uzlīmes!	uz laukiem!; vairāk nekā 120 uzlīmes	9789934070778	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Dari ar prieku!	Ziemassvētki; 175 uzlīmes un daudz aizraujošu uzdevumu	9789934070808	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017	Gulbe, Evija; Lošina, Linda	Koko un Riko	lasi un meklē atšķirības!	9789934072666	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	31
2017		Koko un Riko jaunie piedzīvojumi	uzdevumu grāmatiņa	9789934071577	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	31
2017		Mājas mīluļi	kustīgās bildītes	9789934069598	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Mājās	kustīgās bildītes	9789934069604	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Mazulis	kustīgās bildītes	9789934069611	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017	Milaša, Irina	Skaitļi līdz 5		9789984463650	Rīga	Izdevniecība RaKa	Praktiskā, attīstošā literatūra bērniem	Latviešu	48
2017	Milaša, Irina	Skaitļi līdz 10		9789984463681	Rīga	Izdevniecība RaKa	Praktiskā, attīstošā literatūra bērniem	Latviešu	64
2017		Lauku sētā	ar lieliem slēptiem attēliem	9789984318318	Rīga	MADRIS	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		My Little Pony	1000 uzlīmju	9789934164392	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	80
2017		My Little Ponny	krāsojamā grāmata	9789934164286	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		My Little Pony	uzdevumu grāmata	9789934164293	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Minnie	zīmē un līmē	9789934164422	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017	Kavamura, Jajo	Mašīnas	gaisā, ūdenī, uz zemes	9789934069840	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	22
2017	Kavamura, Jajo	Dzīvnieki	gaisā, ūdenī, uz zemes	9789934069857	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	22
2017		Iepazīsti ciparus un mācies skaitīt!		9789934210051	Rīga	J.L.V.	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Grāmata-puzle mazuļiem	kas dzīvo mežā?	9789934070716	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Mazuļa pirmā grāmata - autobusiņš		9789934070839	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Troļļi	laiks priekam!	9789934164521	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Iepazīsti Siguldu! Siguldai 810	krāsojamā grāmatiņa		Siguldas novads	Siguldas novada dome	Praktiskā, attīstošā literatūra bērniem	Latviešu	25
2017		Brīnumpasaules būtnes	atbrīvo krāsas no tumsas!; attēli no taviem sapņiem - mierīgam prātam	9789934153464	Rīga	LATVIJAS MEDIJI	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Vāģi 3	īsts ātrums; vāģu darbnīca	9789934164170	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Klik klak	es mācos krāsas	9789934164330	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Klik klak	es mācos ciparus	9789934164323	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Ķepu patruļas uzdevumi		9789934164620	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Kvā! Kvā!	izkrāso!	9789934164385	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Pēk! Pēk!	izkrāso!	9789934164378	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Ugunsdzēsējs steidz palīgā		9789934066986	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Krāsu ballīte, [Krokodils]		9789934164361	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Pūķis]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Papagailis]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Zirgs]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Delfīns]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Taurenis]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Tīģeris]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Nīlzirgs]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Suns]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Krāsu ballīte, [Kāmis]			Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Zivju dzīve Burtnieka ezerā!	krāso un iepazīsti	9789934193668	Burtnieku novads	Burtnieku novada pašvaldība	Praktiskā, attīstošā literatūra bērniem	Latviešu	26
2017	Andersone, Gita; Ikale, Iveta; Putre, Indra	Skanīgā ābece	bildes, burti, vārdi, teikumi	9789934061561	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Aukstās svinības	krāsojamā grāmata; sveicam Annu!	9789934164705	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Jaukie dzīvnieciņi	krāsojamā grāmata	9789934164637	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Paw Patrol	krāso kopā ar ķepu patruļu	9789934164644	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		My Little Pony	Varavīksnes košumā; uzdevumu grāmata	9789934164699	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Vāģi	krāso un brauc!	9789934164682	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Ašais vilcieniņš		9789934069826	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Dziedošā ferma		9789934069833	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2017		Krāsainie pirkstiņdarbi	dārzs	9789934070846	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	64
2017	Vītola, Velga	Latvijas dzīvnieku mazuļi		9789934066818	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	18
2017	Vītola, Velga	Latvijas dzīvnieki ar mazuļiem		9789934066801	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	18
2017	Vītola, Velga	Latvijas putni		9789934066825	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	18
2017		Īpašie auto	krāso, spēlējies, mācies	9789934070983	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Uzdevumi, spēles un 2002 uzlīmes		9789934066450	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	56
2017		Skani, mana grāmatiņa!	lauku sēta	9789934070709	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Koko noslēpums	uzdevumu grāmata	9789934164514	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Koko noslēpums	krāsojamā grāmata	9789934164507	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Sapos savus mīluļus!	uzlīmju prieki	9789934164460	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Mani pirmie vārdi		9789934164453	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Tev ir pienākušas 1243 ziņas	Dzīve pirms interneta. Pēdējā paaudze; ceļvedis vidusskolēniem		Rīga	Latvijas Laikmetīgās mākslas centrs	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017	Rezenberga, Maija	Kas dzīvo Umbrijas mežā? = Vem bor i Umbra skog? = Chi vive nella foresta Umbra?			Rīga	Maija Rezenberga	Praktiskā, attīstošā literatūra bērniem	Latviešu; Zviedru; Itāļu	28
2017		Krāsojamā grāmata	lasi, krāso un zini, kad jāzvana 112	9789934146015	Limbažu novads	Limbažu novada pašvaldība	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Bembijs	pužļu grāmata	9789934070945	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Sarkangalvīte	pužļu grāmata	9789934070952	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Sniegbaltīte	pužļu grāmata	9789934070976	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Pelnrušķīte	pužļu grāmata	9789934070969	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017	Vaibravs, Īans; Šeflers, Aksels	Ļoti kutelīga grāmata	ar pārsteigumiem	9789934070907	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2017		Vāģi	zīmē punktu pa punktam	9789934164606	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Ledus sirds	mana krāsojamā grāmata ar uzlīmēm	9789934164613	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Disney Junior	mana krāsojamā grāmata ar uzlīmēm	9789934164651	Rīga	Egmont Latvija	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Rūtiņu pa rūtiņai	krāso kopā ar sunīti!	9789934164712	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Rūtiņu pa rūtiņai	krāso kopā ar lācīti!	9789934164729	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Paw Patrol	Ķepu patruļas krāsas; ar uzlīmēm	9789934164675	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2017		Princeses	Pasaku uzdevumi; ar uzlīmēm	9789934164668	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Izkrāso Latviju		9789934121845	Rīga	Apgāds Mansards	Praktiskā, attīstošā literatūra bērniem	Latviešu	40
2018	Lielpetere, Agate	As Good as Aladdin			Rīga	Popper	Komiksi	Angļu	32
2018		Dzīve izskaidrota			Rīga	Popper	Komiksi	Latviešu; Angļu	90
2018	Konste, Anete; Pētersons, Reinis	The Life of I*	*an introvert Latvian  writer	9789934836046	Ventspils	Starptautiskā Rakstnieku un tulkotāju māja	Komiksi	Angļu	32
2018	Bernere, Zuzanne Rotraute	Pasaku komikss		9789984236933	Rīga	JĀŅA ROZES apgāds	Komiksi	Latviešu	56
2018	Díaz, Abraham	Nausea		9789934518744	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Franz, Pedro	Collection		9789934518751	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Lobo, Francisco Sousa	Master Song		9789934518768	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Muradov, Roman	Resident Lover		9789934518775	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Kvam, Erlend Peder	Weekend		9789934518973	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Pita, Mariana	Day Tour		9789934518997	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Krause, Marlene	Maud		9789934581007	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Vītiņa, Lote Vilma	Worms, Clouds, Everything		9789934581014	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2018	Ganmu	Doghair		9789934581021	Rīga	Grafiskie stāsti	Komiksi	Angļu	28
2018	Fenta	Beyond A Cure		9789934581038	Rīga	Grafiskie stāsti	Komiksi	Angļu	28
2018	Wang, Inkee	Special K		9789934581045	Rīga	Grafiskie stāsti	Komiksi	Angļu	28
2018	Cong, Yan	UNIQLO Superman		9789934581052	Rīga	Grafiskie stāsti	Komiksi	Angļu	28
2018	Dāvidsone, Inese	Hennas maģiskie mākslas zīmējumi	krāso un atraisi savu talantu	9789934864018	Siguldas novads	Henna Guru	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	44
2018	Dāvidsone, Inese	Hennas mākslas Kamasūtra	krāso un baudi	9789934864001	Siguldas novads	Henna Guru	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	44
2018		Maģiskās mandalas	krāsojamā grāmata pieaugušajiem	9789934076596	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	64
2018		Noslēpumainā daba	krāsojamā grāmata pieaugušajiem	9789934076602	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	64
2018		Ziedi krāsošanai un iedvesmai	40 lieliski botānisko ilustrāciju paraugi	9789934077524	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	72
2018		Pasmaidi pasaulei	krāsojamā grāmata pieaugušajiem	9789934079313	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	16
2018		Tauriņa ēna	krāsojamā grāmata pieaugušajiem	9789934079337	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	16
2018		Saules mandalas	krāsojamā grāmata pieaugušajiem	9789934079481	Rīga	Apgāds Zvaigzne ABC	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	16
2018		Porcelāns	krāsojamā grāmata maziem un lieliem	9789934566103	Rīga	Rīgas pašvaldības kultūras iestāžu apvienība	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	60
2018	Eksta, Vika	Dievs. Daba. Darbs		9789934196645	Rīga	Viktorija Eksta	Mākslas albumi	Latviešu; Angļu	72
2018		Andris Zēgners	Gaismā	9789934535482	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2018		Mark Rothko 2017	starptautiskais glezniecības simpozijs; simpozija katalogs	9789934535574	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2018		Jons Arne Mogstads. Iespējas skaistums	izstādes katalogs	9789934535598	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	36
2018		Daudz labāk!			Rīga	Popper	Mākslas izstāžu katalogi	Latviešu; Angļu	96
2018		[54.] mākslas darbu izsole 2018. gada 3. martā			Rīga	Klasiskās Mākslas Galerija	Mākslas izstāžu katalogi	Latviešu	8
2018		VI starptautiskais Latgales grafikas simpozijs	simpozija katalogs	9789934535635	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	32
2018		Aleksandra Šļahova	ūdens un krāsas (izstādes katalogs)	9789934535642	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu; Krievu	32
2018		100 Latvijas mākslā (izstādes katalogs)		9789934535659	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	116
2018		Latvijas laikmetīgā keramika (izstādes katalogs)		9789934535666	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	36
2018		Estonian Contemporary Ceramics (izstādes katalogs)		9789934535673	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Angļu; Latviešu; Igauņu	32
2018		II Latvijas starptautiskā keramikas biennāle (izstādes katalogs)	Martinsona Balva	9789934535680	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	102
2018	Krastiņa, Sandra	Ekrāns	izstādes katalogs	9789934535697	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	48
2018	Raude, Maruta	Vienmēr maksimāli	izstādes katalogs	9789934535703	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	28
2018	Linarte-Ruža, Ilona; Pudāne, Dace	Līdzīgie kodi (izstādes katalogs)		9789934535727	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu; Krievu	34
2018		VII Starptautiskais Latgales grafikas simpozijs	simpozija katalogs	9789934535734	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	36
2018		Valdis Bušs 2018	2. Starptautiskais glezniecības plenērs	9789934535741	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Krievu; Latviešu; Angļu	32
2018		Izabella Krolle. Artērija	izstādes katalogs	9789934535758	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	20
2018	Zeiļa, Lilija	Traces. Touch. Versatility	izstādes katalogs	9789934535765	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Angļu	24
2018		Māris Čačka. Noteiktie un nenoteikte dialogi	izstādes katalogs	9789934839351	Daugavpils	Mākslu pedagogu apvienība	Mākslas izstāžu katalogi	Latviešu; Angļu	20
2018		Global Control and Censorship	exhibition; September 13 - October 21, 2018 Riga		Rīga	Jauno mediju kultūras centrs RIX-C	Mākslas izstāžu katalogi	Latviešu; Angļu	46
2018		Igaunijas simtgade Latvijā	izstādes katalogs	9789934535772	Daugavpils	Daugavpils Marka Rotko mākslas centrs	Mākslas izstāžu katalogi	Latviešu; Igauņu; Angļu	80
2018		Laukos	pužļu grāmata	9789934071508	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2018		Dzīvnieku mazuļi	pužļu grāmata	9789934071515	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	14
2018		Jautras prāta spēles		9789934074950	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	132
2018		Veiklie pirkstiņi	kucēns	9789934074974	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Veiklie pirkstiņi	ronis	9789934074981	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Veiklie pirkstiņi	delfīns	9789934074998	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Veiklie pirkstiņi	kumeliņš	9789934075001	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018	Bumbiere, Daina	Vārdiņš, vārdiņš, teikumiņš	vārdu un teikumu mīklas lasītprasmes apguvei	9789984463742	Rīga	Izdevniecība RaKa	Praktiskā, attīstošā literatūra bērniem	Latviešu	156
2018		Littlest Pet Shop	aizrautīgai krāsošanai; ar uzlīmēm	9789934164941	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2018		Vāģi	Gatavi sacīkstēm; čempionu krāsojamā grāmata	9789934164965	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	96
2018		Trusītis Pēterītis	darbošanās grāmata ar uzlīmēm	9789934075155	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2018		Zaķēns Ziķeris	Ārā	9789934075179	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Zaķēns Ziķeris	Diena	9789934075186	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Zaķēns Ziķeris	Ģimene	9789934075193	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Dašāvatāri	krāsojamā grāmata ar stāstiem	9789934575006	Rīga	Gaurāngas bhakti jogas biedrība	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2018		Vinnijs Pūks	Lielā pužļu grāmata	9789934164972	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	10
2018		Mazie pūkainīši		9789934074790	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Jaukie dzīvnieciņi		9789934074806	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Mani pūkainīši		9789934074813	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Mīļie dzīvnieciņi		9789934074820	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2018		Vampirina	krāsojamā grāmata ar uzlīmēm	9789934164989	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2018		Manas krustvārdu un vārdu mīklas	mājas	9789934164996	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2018		Manas krustvārdu un vārdu mīklas	brīvdienas	9789934165009	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2018		Lielā spēļu grāmata visai ģimenei	39 spēles, vārdu mīklas, prāta mežģi	9789934075438	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	40
2018		Mīlulīši		9789934075445	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2018		Sofija Pirmā	krāso un rotaļājies	9789934165030	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2018		Mikija klubiņš	krāso un rotaļājies	9789934165047	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2018		Vāģi 3	krāso un rotaļājies	9789934165054	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
2018		Krāso!	3+ gadi	9789934165061	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	48
